afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong	
It’s a mental challenge.	Your journey is an epic, with each chapter unveiling the adventures of a lively spirit.	The cracks in your facade are fault lines, revealing the seismic activity within.	Veiled thoughts, secrets whispered by the wind of uncertainty.	Within solitude, unshed tears carve valleys of muted emotions.	Why does their happiness act as a mirror reflecting your dissatisfaction?	How does the scent of happiness linger in the atmosphere around you?	How does the absence of support shape your perception of worth?	Can you expose the vulnerability beneath layers of commitment?	Amidst art, do your thoughts gravitate towards imminent departure?	Staring without blinking unveils a grayscale world of contemplation.	Can anyone truly compete and stand shoulder to shoulder with you?	When does your heart swell with an abundance of shared happiness?	Exceeding expectations, you did what mattered.	What whispers of calmness grace your mind in silent solitude?	How does your positive spirit radiate kindness and warmth effortlessly?	Dreams revive departed, lingering shadows?	Knowing through mere presence.	
How did self-trust fracture?	The courage within you is a phoenix, rising from the ashes of every trial.	The controlled restraint is a taut wire, humming with the potential to snap.	Mental symphony, each note played in the key of doubt.	Fragile hopes, wilted blooms waiting for a touch of sunlight.	Can you imagine a world where their accomplishments don't diminish yours?	Can you feel the gentle rain of joy cleansing your spirit?	Is there a place where the shadows within cease to deepen?	What would it take to heal the wounds of shattered connections?	Do you realize your presence is optional, not obligatory?	Emotions originate from specific points within your complex emotional canvas.	When do you find it justified to cast a condescending gaze upon others?	Can you envision a lifetime of shared dreams and whispered secrets?	Free from unnecessary burdens.	Can you sense the peace carried by the winds of change?	What delightful melody plays when your heart is brimming with joy?	Pretending fades, fractures revealed.	Doubt's presence draws growth.	
Why this persistent gut-brain discord?	Your empathy is a bridge connecting the hearts of the human experience.	The tightening grip is a vice, compressing the fragile threads of patience.	The narrative of the mind is a cryptic, unreadable script.	Silence, the canvas on which the ache of solitude is painted.	Their triumphs cast shadows over your own humble victories.	Your laughter is a sunbeam, casting warmth upon all near.	Can you envision a day when your strength is restored?	Do they wait for reconciliation or embrace the void you left?	Could your attention be diverted from the glow of your screen?	Alternative courses of action open doors to unexplored territories.	Have you not only outperformed but outright eclipsed those in your midst?	Laughter intertwines with yours, weaving a tapestry of shared joy.	Harmonious integration of heart and mind.	Where does serenity unveil itself in the landscape of your emotions?	How does your optimistic perspective navigate through challenges gracefully?	Comforting hand echoes silent fractures.	Subjectivity acknowledged; control claimed.	
Aware they perceive your unease?	The warmth of connection is the sun that nourishes the garden of your relationships.	The storm clouds in your expression forecast a turbulent emotional weather.	Ideas swirl like autumn leaves caught in a perplexing breeze.	Dreams elude, dancing just beyond the grasp of darkness.	In their success, you find a harsh reflection of your inadequacies.	The joy within you radiates like a beacon of positivity.	How does the void within blur the distinction between past and present?	Unnoticed departures, your absence a void in crowded spaces.	When was the last time genuine curiosity stirred within you?	Exploring a different route can lead to deeper revelations and truths.	Your capabilities effortlessly eclipse the mediocrity of their efforts.	Their mere presence elicits a warmth that words can't encapsulate.	Embrace the unexpected.	Does serenity flow through your veins like a gentle river?	You embody joy, inspiring unexpected delight in those around you.	Fragility outlines, dance with sorrow.	Future prominence subtly predicted.	
Clues scattered; decode elusive thoughts.	Every sunrise is a testament to the endless possibilities awaiting your embrace.	The distant stare is a vast expanse, concealing the tempest beneath the surface.	A murmuration of thoughts, forming intricate patterns of bewilderment.	Echoes of joy linger, drowned by the shadows of despair.	The echo of their joy reverberates through the hollowness within.	Your happiness paints the world in vibrant strokes of color.	The struggle drains the colors from the canvas of your life.	Words lie dormant, fallen leaves beneath the tree of broken bonds.	Why not initiate for once, break the cycle of passivity?	Specific aspects of a situation evoke deep fascination and intrigue.	Patience wanes as their incompetence persistently tests your limits.	Serenity envelops you, a gift from a hug that lingers.	See challenges as opportunities.	How does the silence between words deepen your inner peace?	Creativity knows no bounds when you embrace extraordinary possibilities.	Trembling voices mirror unspoken ache.	Grounded like gravitational forces.	
When did introspection last occur?	Your creativity is a fountain, ever-flowing with the waters of innovation.	The pursed lips are a sealed vault, harboring the untold grievances within.	A web of ideas, where threads of understanding entwine and unravel.	Sorrow weaves intricate patterns on the tapestry of solitude.	Their accomplishments highlight the perceived lack in your own life.	The melody of your joy is a soothing balm for the soul.	Every step forward feels like wading through thickening darkness.	A shell remains, a body bereft of its once vibrant spirit.	The weight of responsibility consistently falls on my shoulders.	Curiosity contributes to continual personal growth and self-discovery.	Stooping to their level is a compromise your principles won't make.	Gestures of affection speak louder than any spoken declarations of love.	What is your growth opportunity today.	Can you discover peace by embracing the serenity of uncertainty?	Limitless optimism guides your next adventure into uncharted positivity.	Anchors elude, fragments adrift.	Personal responsibility fuels learning.	
Pieces assembled; certainty wavers?	The taste of success is a banquet, and every achievement is a delicious course.	The undertow of resentment pulls at the edges of the emotional sea.	Abstract thoughts, brushstrokes of perplexity on the canvas of introspection.	Night echoes sighs, whispers of the battles fought within.	Envy paints their happiness as a canvas of your own discontent.	Your carefree spirit is an uplifting breeze in the air.	The silence amplifies the helplessness echoing within your soul.	Gazing through windows, you peer into a world devoid of connection.	Repetitions echo, falling on ears seemingly perpetually deaf.	Hidden facets within yourself await further exploration and revelation.	Intellectual heads are not so much used as they are dismissed.	Shared laughter is a language only understood by kindred souls.	Navigate with grace.	Depths of stillness hold infinite treasures.	Your positive energy effortlessly uplifts those in your vibrant orbit.	Shallow breaths, unseen heartache.	Beyond capabilities, duties unfold.	
Liberate from mental entanglement.	Your voice is the melody that weaves through the symphony of shared conversations.	The restrained posture is a fortress, protecting the vulnerable core within.	A dance of shadows, where every step is a question.	Shadows cast by the unspoken pain dance in silence.	Your accomplishments seem to wither in the glow of theirs.	The sparks of happiness in your eyes light up every moment.	Your existence feels like a whisper lost in the winds.	A specter of your former self, barely visible amid isolation.	Demands hang heavy, met with a shrug of disinterest.	Sounds and sights beyond the ordinary enrich the daily human symphony.	Laziness is a stark testament to their lack of discipline and drive.	Compassion echoes in mirrored actions, creating a symphony of emotions.	How to go with life's flow effortlessly.	Tranquility navigates life's currents with ease.	Positivity creates ripples of joy, shaping a harmonious and bright environment.	Solitude weighs heavy, shadowed soul.	Acknowledge fear; embrace growth.	
Unsettling vibes, can you pinpoint the cause?	The embrace of nature is a comforting hug from the universe, reminding you that you belong.	The exterior is a mask, concealing the fiery emotions beneath.	Whispered enigma, the language of thoughts spoken in paradox.	Melancholy lullabies play softly in the chambers of solitude.	The success they enjoy amplifies the silence around your achievements.	Your blissful aura transforms the mundane into magic.	The weight of despair bends your spirit, making every move agonizing.	Reflections in the window distort, mirroring a fragmented identity.	Saturation reached, a pool of indifference stagnant and unmoving.	Complete receptivity to change marks moments of transformative openness.	Recognizing wasted potential in human minds is your bittersweet talent.	A gentle touch ignites a spark that radiates warmth within.	Recognize life's unfolding perfection.	Inner peace ripples into harmonious interactions.	Amplify positivity by adding more laughter to your day today.	Stillness beckons, refuge from discontent.	What remains once overthinking fades?	
Lost self-trust realization lingers.	Your curiosity is a compass, guiding you through the uncharted territories of knowledge.	The echoed sigh is a gust, blowing through the fragile architecture of peace.	An ocean of ideas, where waves of uncertainty crash ashore.	Dreams vanish, leaving behind echoes of unfulfilled promises.	Their fortune accentuates the unspoken struggles in your own life.	The symphony of joy within you is a celebration of life.	The isolation deepens, a chasm growing between you and hope.	Pain's echoes reverberate, seeking solace in an empty soundscape.	Investments seem futile when the heart remains indifferent.	Fixating your gaze until the world turns monochrome unveils new perspectives.	Elevated worthiness keeps you isolated from the masses below.	Affectionate glances carry unspoken volumes of shared tenderness.	Feel weightless in acceptance.	Calmness blossoms in surrendering to life's ebb and flow.	Your heart reveals boundless potential, guided by limitless optimism.	All slips away, relentless drift.	Can they grasp their responsibilities?	
Discordant thoughts persist.	The tingling sensation in your fingertips is a reminder of the tactile joy in existence.	The measured pace is a drumbeat, marking the rhythm of brewing discontent.	Every thought is a tree blocking the view of clarity.	Resilience whispers in the quiet moments between heavy breaths.	In their joy, you feel the sting of your own unfulfilled desires.	Your laughter is the sweetest melody in the room.	The struggle is an endless cycle, with no respite in sight.	Amid turmoil, the question persists: Are you truly okay?	Purpose dissolves into a haze of uniformity, devoid of significance.	The origin of emotions resides within the intricate fabric of your being.	Fakeness unravels beneath the scrutiny of your discerning eyes.	Ordinary moments become cherished memories when shared with a special someone.	Ready for growth opportunities.	Nature shares serene whispers with your soul.	Inner light shines through challenges, illuminating solutions with grace.	Journey transforms, arduous resilience.	Does confidence mask underlying fears?	
Unseen eyes witness unease.	Every deep breath is a commitment to inhale the essence of life's richness.	The narrowed eyes are sentinels, guarding the gates against perceived trespasses.	There are no landmarks to guide the way.	Within solitude, the sun's touch is a distant memory.	Their happiness stands as a testament to your own dissatisfaction.	The sunshine in your heart brightens even the darkest corners.	The echoes of your efforts bounce off walls of indifference.	Unheard cries for connection linger, unanswered and unclaimed.	Acceptance replaces engagement, a nod to the monotony.	Additional actions can enrich your understanding and deepen your insights.	Seeing through niceties exposes the hollowness beneath their facade.	Kindness flows between you both, a gentle river of shared goodness.	Open to transformative changes.	Revelations bloom in the garden of silence within.	Unwavering confidence leads you on a remarkable journey of empowerment.	Thoughts persist, intensify prevailing hurt.	Do you boldly embrace your truth?	
Clues elusive, thoughts deciphered.	Your dreams are the constellations that guide you through the vast cosmos of possibility.	The unspoken tension is a tightrope, delicately balancing on the edge of eruption.	Each solution raises more questions.	Unseen battles paint scars on the canvases of weary souls.	Their achievements cast a pall over the value of your efforts.	Your carefree grin is an infectious dance of happiness.	The void within distorts the reflection of your former self.	Your presence dissolved, leaving only unanswered questions in its wake.	All things blend into sameness, devoid of distinguishing importance.	Forging a new path aligns with the ever-evolving truth within you.	Specific types are readily identified by your well-honed judgment.	Tenderness echoes in shared silence, where words aren't necessary.	Life's twists: challenges or opportunities.	Serenity nestled between each breath's gentle rise.	Infectious enthusiasm influences all those lucky to be in your orbit.	Brokenness persists, yearning for mending.	Is desire the driving force?	
Introspection essential for clarity.	The bonds you forge are the threads weaving the intricate tapestry of your social fabric.	Scream	Ask a question	A silent scream echoes through the vast corridors of despair.	The spotlight on their success feels like neglect of your journey.	Your joy is a cascade, creating ripples of delight around.	The journey ahead is a relentless marathon with no finish line.	The crumbled closeness replaced by the stark reality of abandonment.	Why bother when outcomes carry the weight of indifference?	Curiosity leads to unexpected discoveries that shape your unique journey.	A belief persists that anyone could excel, guided by your expertise.	Lifelong companionship is a journey woven with shared experiences.	See the beauty in life's shifts.	Heartbeat's rhythm harmonizes with the melody of tranquility.	Express gratitude in unique ways, spreading happiness like sunshine.	Void left, departure insurmountable.	Are you ready for ongoing challenges?	
Pieces aligned, yet doubts persist.	Your compassion is a balm, soothing the wounds of the human condition.	Share your frustrations	Repeat what they just told you	Muted emotions wrap themselves in a cloak of solemn quietude.	Envy distorts their joy into a bitter taste in your mouth.	The echoes of your happiness create a harmonious atmosphere.	The shadows of despair cast long, disorienting silhouettes.	Acceptance of irrelevance stings, a bitter truth in solitude.	Apathy lingers, a silent companion in every interaction.	Exploring alternative routes broadens your perspective and experience.	Reality may challenge, but acceptance is a luxury you withhold.	Shared laughter is the universe's way of painting joyous constellations.	Accept challenges as stepping stones.	Breath guides to an oasis of profound peace within.	Radiant positivity transforms ordinary moments into extraordinary, memorable experiences.	Departure leaves unfillable void.	Can you sustain unyielding persistence?	
Squint your eyes	The scent of adventure lingers in the air, an intoxicating aroma of discovery.	Commiserate	Repeat what they just said	Shadows linger, confidants in the silent dialogue of pain.	Your accomplishments pale in the glare of their triumphant spotlight.	Your happiness is a radiant glow, illuminating your surroundings.	The loneliness is a suffocating fog, obscuring any sense of direction.	Forcing closeness proves futile, a dance of connection lost in translation.	Appearance betrays, wearied by the toll of neglected rest.	Untrodden paths beckon exploration, promising new vistas and revelations.	Righteous viewpoints are an impervious shield against external influence.	Warm embraces are portals where the ordinary transforms into extraordinary.	Life's plan unfolding beautifully.	Solace discovered within the sanctuary of reflective thoughts.	Trusting in your positive vision yields extraordinary outcomes beyond imagination.	Confrontation eases, weight released.	How profound is your true desire?	
Don't make eye contact	Your resilience is a fortress, standing tall against the winds of adversity.	Raise your voice	Forget	In the stillness, the river of time deepens the sorrows within.	The applause for their success seems to mock your own silence.	The sparks of joy within you are stars in the night sky.	The path ahead is a maze, with every turn leading to uncertainty.	Alone, surrounded by the specters of relationships that once were.	Interest's absence is palpable, an atmosphere devoid of engagement.	As truth unfolds, clearer revelations pave the way for deeper understanding.	Valuable time is a currency guarded against those deemed unworthy.	Their existence is a melodic symphony resonating deep within your soul.	How to gracefully navigate challenges.	Echoes of peace resonate in the stillness around.	Positive mindset shapes a reality filled with hope, joy, and abundance.	Ache accompanies memories, lingering.	Can you visualize the triumphant finish?	
Tap your fingers on your thigh	The symphony of your life is composed of the harmonious interplay of every experience.	Criticize	Change the subject	Give up	Their happiness appears as a constant reminder of your struggles.	Your carefree spirit is a refreshing breeze in the atmosphere.	The absence of support leaves you adrift in a sea of emptiness.	Expectations lie shattered, fragments of disappointment scattered like debris.	Observations drift, detached from the reality that surrounds.	Specific aspects of a subject matter stir genuine intrigue within your mind.	Transformation is urged to bring them closer to your lofty standards.	Moments of warmth transcend physical touch, creating an eternal connection.	Embrace change with an open heart.	Symphony of calmness plays when eyes gently close.	Uplifting tales shared encourage and inspire, creating a positive impact.	Sleep offers brief escape.	Does this journey deeply resonate?	
Quick! Smile so they don't notice you're onto them.	Ask them rhetorically “What’s the worst thing that could happen?”	Harbor resentment	Disagree	Close your eyes	Envy whispers in the corridors, overshadowing your own victories.	The warmth you exude is a healing touch to those around.	The effort to progress feels like an uphill climb with no peak.	Beneath commitments, scars throb, aching for acknowledgment and release.	Shared jokes fall flat, meeting an audience lost in indifference.	Curiosity shapes your responses, turning challenges into opportunities.	Adjustments recommended reflect your vision for his betterment.	Shared adventures paint vibrant strokes on the canvas of your heart.	Recognize growth in unexpected turns.	Embody tranquility amidst life's dynamic orchestrations.	Your positivity transforms ordinary actions into monumental positive changes.	Dreams revive, lingering shadows.	Truth prevails beyond overthinking.	
Open your mouth to say something then close it.	Tell them to get another drink!	Provoke them	Change your mind	Look down	Their success feels like an echo of your own unmet aspirations.	Your laughter is a symphony, playing in the hearts of many.	The struggle becomes a storm, tossing your hope like a ship.	Exposing vulnerabilities demands courage beneath the weight of commitment.	Leaving seems logical if interest fails to captivate your presence.	The source of inspiration for your curiosity lies within your unique essence.	Superior capabilities distinguish you as a force beyond the commonplace.	The key to boundless joy lies in the shared moments together.	Navigate challenges with inner calm.	Peace found in the dance of shadows and sunlight.	Positive spirit radiates kindness and warmth, touching hearts effortlessly.	Burden feels heavy, need support.	Encourage responsibility, nurture growth.	
Glance behind your shoulder	Imagine that you know a secret that makes you realize how everything is going to be OK. Think about that secret and nod at them.	Adamantly disagree	Are you sure? Try reconsidering	Sigh	In their joy, you hear the silent cries of your own discontent.	The happiness within you is a blossoming garden of delight.	The weight of uncertainty sits heavy on your shoulders, a burden.	Mending shattered connections requires untangling the threads of pain.	Amidst art's allure, thoughts wander toward an imminent departure.	The journey of exploration is a continuous unfolding of untold possibilities.	Parity is a concept foreign to those who fall short of your standards.	A floodgate of happiness opens wide with the shared company of loved ones.	Open to life's unpredictable dance.	Whispers of calmness grace the mind in silent solitude.	Delightful melodies play when your heart is brimming with joy.	Heavy burdens persist, defying light.	Confidence veils subtle apprehension.	
You know that their intentions are bad but tell them thank you for being so kind.	Ask them if they want to go to Disneyland with you.	Refute	Say the first thing that comes to mind	Ignore what they're saying	The stage of their accomplishments feels like a neglected spotlight.	Your joy is a gentle rain, nurturing the soil of the soul.	The isolation is a silent scream reverberating through the void.	Waiting for your return fades into the hollow echoes of passing time.	Presence acknowledged but optional, not bound by obligation.	The subject matter stirs a genuine sense of intrigue and intellectual engagement.	Condescension is a rightful stance in the face of their perpetual inadequacy.	Lifetime dreams are woven together, whispered as secrets between companions.	Ready for new growth experiences.	Sense peace carried by winds of change.	Optimistic perspective navigates challenges gracefully, unveiling opportunities in every obstacle.	Sigh	Embrace and assert your truth.	
Look away	Tell them “Sure! I'll have another drink!”	Disregard what they're saying	Look in the other direction	Shrug	Think about how the ways their life is better than yours	Smile	The echoes of your cries for help dissipate in the emptiness.	Solitude becomes a refuge, shielding you from the sting of abandonment.	Attention remains captive to the glow of a distant screen.	Ask a follow up question	Outperforming others is a habitual triumph that reinforces your superiority.	Smile with your eyes	Look them in their eyes.	Serenity unveils itself in the landscape of emotions.	Your joyous presence effortlessly brightens the lives of those around.	Silently mourn a loss	Unyielding desire propels progress.	
What's the worst that could happen? Imagine that.	Tell them that no one’s really in charge here so any ideas are on the table.	Point out problems	Ask "Why?"	Wrap your arms around yourself	Admire them	Smile and say thank you	The struggle is an unraveling thread, pulling you further into chaos.	Tell them “What?”	Genuine curiosity seems like a relic from a distant past.	Lean forward	Squint your eyes	Ask them if they have everything they need.	Breathe	Peace flows through veins like a gentle, meandering river.	Tell them you're amazed and that you want to hear more.	Mention something you're missing	Preparedness defines enduring strength.	
Indulge your worries	Inhale deeply	Contradict	Give them a quizzical look	Stare into the distance	Imagine how your life would be easier if you were them	Make eye contact	Give up	Stare into the void	Initiatives stagnate, drowned in the apathy of perpetual indifference.	Nod encouragingly	Back up	Tell them that you are there for them.	Relax your shoulders	Silence between words deepens inner tranquility.	Smile with your eyes while raising your eyebrows	Indulge the melancholy	Resilience fuels ongoing perseverance.	
Share your fear	Talk slightly louder than normal	Express dissatisfaction with something they're saying	Raise your eyebrows	Ignore	Widen your eyes	Hold their gaze	Look at the floor	Look at them like you can see their mouth moving but you don't know what they're saying	Try again	Say "tell me more"	Shake head	Ask them what they need.	Listen	Embrace peace by savoring the serenity of uncertainty.	What they are saying is empowering you.	Slump your shoulders	True desire fuels unwavering determination.	
Glance around to stay aware	Notice your surroundings	Disagree	Consider the opposite of what you're discussing	Disengage	Look elsewhere	Nod in agreement	Stop trying	Look at them with a blank face and slowly shake your head	Shrug	Ask questions	Criticize	Smile with your eyes and nod.	Ask them to go further	Squint your eyes, look up slightly to your right.	Tell them that you just had a great idea.	Talk quietly	Success significance fuels committed efforts.	
Don't let your guard down	Take notice of you smell	Speak in a measured tone	Ask "What if?"	Forget	Talk about what you want	Increase your energy	Ask "What's the point?"	Open your mouth as if you're going to say something	Ignore them	Look at them closely	Point out problems	Smile without showing your teeth.	Say "Tell me more"	Squint your eyes and nod slowly.	Tell them that you see the solution now.	Lower your voice	Vision sustains unwavering persistence.	
Doubt what you're being told	Look closely at them	Grip your armrests tightly	Shake your head	Lower your voice	Imagine how things could be different	Affirm what they're saying	Look down	Stand up and stare into the void	Half listen to what they're saying	Observe	Contradict	Look them deep into their eyes.	Ask questions	Ask them if they think there is another way.	Tell them “yes and …”	Mention a long ago friend	Hold on	
Don't trust this	Wonder	Clench your fingers	Look around the room	Retreat into yourself	Wish	Remember the best thing that happened this week	Flail around	Protect yourself	Daydream	Pay attention	Disregard what they're saying	Exude warmth	Reflect on what they're saying	Tell them that you are open for other solutions	You can help each other out.	Close yourself	Share your opinion	
Consider what could go wrong	Ask a follow-up question	Stiffen your posture	Let the talking fade into the background	Let go	Dream	Exude warmth	Glaze over your eyes	Rock back and forth	Look at the walls	Consider how they're feeling	Reiterate	Hold them close	Consider your context	Say: “Huh … I have never thought about it that way.”	Take a deep breath and nod intensely	Look down	Stand by your beliefs	
Worry	Say whatever is on your mind!	Bristle	Float away	Turn away	Want	Make a joke	Breathe rapidly	Wrap your arms around yourself	Tap your fingers together while you count	Imagine you are them	Shake your head in disbelief	Invite them in	Lean forward	Breath in deeply	Agree	Share a moment of sadness	Hold your ground	
Breath in and out rapidly	Don't hold back	Shake your head in disbelief	Repeatedly change your mind	Reflect on your worst memory	Talk about your desires	Laugh together	Reject reassurance	Consider where you're currently holding pain in your body	Let it go	Make eye contact	Ask for more	Praise them	Open your eyes wider	Reflect on what is ok right now	Nod supportively	Remember	Nod casually	
Keep looking behind you	Embrace your feelings	Feel your body temperature rise	Forget your words.	Embrace the grayness	Indulge your fantasies	Bounce in your seat	Let go	Let the pain radiate	Nod	Ask "How does that make you feel?"	Look past them	Compliment	Relax your posture	Let it go	Affirm them	Let yourself go down there	Lean back	
Watch out	Agree emphatically	Repeat yourself loudly	What they're telling you doesn't seem right.	Shut down conversation	Daydream about being someone else	Sway with the music	Slump in your seat	Push back	Count the spots on the wall	Imagine more possibilities for what they're saying	Sigh	Affirm	Release your grip	Repeat a calming phrase to yourself	Encourage	Don't look them in their eyes. If you do you'll start crying.	Let go of worries	
Look for the exit.	Hold eye contact	Tell them, with your firmest voice, to stop.	Question yourself.	Question the point of this conversation	Talk about what you don't have	Let go	Think about all the times you couldn't do enough	Clench your jaw	Look past them	Push them further	Furrow your brow	Be patient	Give in	Agree with them	Breathe deeply	Whisper ‘please don't leave’	Think of all the tasks you checked off your todo list last week	
Don't pay attention.	Sit up straighter	Stare them right into their eyes without ever letting your stare drift.	Lose your train of thought.	Lay down	Admire	Let them know you are happy to be here	Talk about the things you can't control	Stiffen your back	Daydream	Clarify	Tilt your head back	Appreciate them	Accept	Center yourself	Sit up straighter	Whisper ‘I'm afraid I'll scatter’.	Push on	
Avoid their question.	Relax	Tell them that their behaviour is unacceptable.	Give them a skeptical look.	Rest your head	Look at them in disgust.	Mention something you appreciate about them	Consider the scale of the world	Take it personally	Let your mind wander	Encourage	Back away	Appreciate this time	Affirm what they're saying	Invite them in	Imagine the best possible outcome for this conversation	Try to hide your worry.	Keep going	
Mumble.	Feel your body	Clench your fist.	Ask them again.	Slow your breathing	Shake your head and say ‘It’s not right’	Compliment them	Remember COVID-19	Imagine their words bouncing against your body	Forget what they said	Animate your face	Don't let them too close	Uncross your arms	Imagine you are meeting each other for the first time	Let the conversation wash over you	Keep this going	Keep your hands in your lap and look at them.	Let go of fears	
Tell them to stop questioning you.	Dare them.	Clench your teeth.	Ask them who they are.	Inhale without any feeling of satisfaction	Wish you had what they have.	Encourage	Imagine slowly falling	Ignore them	Detach from emotion	Question	Take a hard look	Open your body	Look around	Rock softly back and forth	Recognize their support	Breathe shallowly.	Go where you haven't before	
Ask them why they’re here.	Take a few fast but deep breaths.	Destroy them.	Forget where you are.	Stop paying attention	Think about killing them if they keep bragging.	Trust them	Say "I don't know"	Distance yourself	Look away	Keep asking	Roll your eyes.	Look at them	Smile	Self soothe	Say, "Yes, and"	Whisper ‘I don't know what I need’	Ask a real question	
They're asking too many questions.	Feel adventurous.	They are wrong. You are right.	Say “Wait a second…”	Feel the distance between you	Wish you were them.	Lean in	Apologize	Back away	Tap your foot	Take this further	Say 'ew'	Nod	Nod approvingly	Feel the ground beneath you	Be as present as possible	Remember another conversation you had that filled you up	Hold space	
Avoid the subject.	Propose a local adventure.	Bite your fist.	Turn away from them.	Make no effort.	Tell them that they were just lucky.	Hum a song in your head	Mumble	Tell them "Be honest"	Play a song in your head	Repeat what they said back with more energy	Tell them that you see right through them	Engage	Shrug and laugh	Notice the seat you're sitting in	Hold onto this time together	Imagine you are talking to a good friend you are no longer in touch with	Maintain energy	
They see through you.	Forget about the rules.	Stand up and yell at them.	Blush.	Hear your own words from a far distance.	Say “what goes up must come down”	Thank them for being here.	Don't move a muscle.	Forget it	Pretend you're somewhere else.	Lean forward and gasp.	Tell them that anyone could do their job	Feel your heart beating.	Tell them that they're interesting.	Look at them	Take it further	Fail to pick up your pieces.	Repeat yourself	
Prepare to flee.	Tell them to forget about the rules.	Tell them “you don't know what I've been through”.	Disappear.	Realize that it won't get better.	Stare at them.	Tell them you're getting goosebumps	Breathe shallowly.	Let it go	Lean back.	Tell them, ‘Wow, I didn't know that.’	Disagree	Feel your chest expanding.	Ask them if they would like to hear your story.	Look around you	Challenge them	Hide your face.	Strengthen your position	
Agree with them just to be safe.	Allow yourself to drift from the subject.	Tell them to shut up.	Scrunch up your face in bewilderment.	See how your realities are separate.	Pretend you're happy for them.	Giggle.	Close your eyes and shake your head.	Swallow your feelings	Let your mind wander.	Ask them, ‘Isn't that amazing?’	Tune them out	Take them in.	Tell them that you understand.	Repeat a mantra	Show off	Refuse to let go.	Double down	
Avoid confrontation.	Take it further.	Yell “You're not listening”!	Speak in riddles or nonsensical phrases.	Detach.	Insult them.	Consider if you're falling in love.	Hug your knees.	Tell them “you don't even see me”.	Change the subject.	Pay attention to the undertones of their voice.	Question what they're saying	Tell them you're glad they came.	Hear what’s underneath the words.	Pay attention to your breath.	Ignore all doubts	Sink	Hold firm in your belief	
Rethink.	Dance to the rhythm of your heartbeat.	Tell them to sit down.	Mimic their gestures with confusion.	Slouch.	Compliment them with a fake smile.	Say “what a day!”	Whisper “don't mind me”:	Hide your scars.	Ask “how would you like me to respond?”	Read between the lines too.	Propose a better alternative	Feel their gravity.	See what they're saying with their body.	Slow down your breath.	Say “let’s do this”.	Realize that what’s lost is lost.	Challenge them	
Clench your fists.	Laugh unabashedly.	Tell them to show respect.	Misunderstand their words.	Pretend you're not there.	Dislike them.	Take them in.	Whisper that you're sorry.	Close your heart.	Don't give them any attention.	Never drift.	Tell them that they're making a fool out of themselves.	Don't take your eyes off them.	Take it in.	Say “I think we're onto something”.	Feel how they bring light into the conversation.	Wish things were different.	Stop analyzing and tell them what you really think.	
Check your surroundings for hidden threats.	High-five someone nearby.	Slam your hand on a nearby surface.	Close your eyes and try to make sense of it.	Speak in a monotone, lifeless voice.	Make an effort to be nice.	Glow	Tell them to please stay.	Hide your face.	Sigh.	Say “wow!”	Widen your chest.	Caress them with your mind.	Gently absorb them.	Smile.	Know that it will only get better.	Fall down to your knees.	Tell them that you see through them and that it’s okay.	
Speak in hushed tones.	Share a wild dream you've always had.	Pace back and forth.	Tilt your head to the side in puzzlement.	Let your sentences trail off into silence.	Exaggerate what you have.	Share	Think about what it would take to save the world.	Look away.	Respond to something else.	Nod intensely.	Straighten your back.	Say ‘all is good’.	Lean forward and rest your chin in your hand.	Let them in.	Hum while smiling.	Beg for forgiveness.	Ask for more	
Hesitate before making any movements.	Jump up and down with excitement.	Recite a list of grievances.	Speak slowly as if processing information.	Gaze blankly at a fixed point.	Know what you deserve.	See the solution.	Remember that it’ll get a lot worse before it gets better.	Whisper that they don't understand.	Say “whatever”.	Ask them if it’s really true.	Look down at them.	Lose your words.	Tell them that you're there for them.	Warm them up.	See the light.	Regret	Inhale deeply	
Pretend not to hear what's being said.	Compliment someone genuinely.	Interrupt them with frustration.	Lose track of time.	Respond with one-word answers.	Force a smile while listening to their achievements.	Want this moment to last.	Realize that they're not talking to you.	Don't answer them.	Pull out your phone.	Tell them that you haven't thought about it that way before.	Tell them to listen.	Gently pull them in.	Think about what they said.	Accept them.	Feel their light.	Let your head fall to your chest.	Tell them what you've been wanting	
Keep your back against the wall.	Express gratitude for the present moment.	Roll your eyes in exasperation.	Hum a nonsensical tune.	Convey a lack of interest in the conversation.	Glance at your own possessions with dissatisfaction.	Expect it to get even better.	Open your mouth but don’t find the words.	Resist walking away.	Ask them what they're talking about.	Smile with genuine enthusiasm.	Point at them with your hand.	Expand towards them.	Wonder out loud	Let go of your opinion.	Deepen your breath.	Brush away a tear discreetly.	Believe everything you're saying	
Look over your shoulder frequently.	Clap your hands with enthusiasm.	Speak through gritted teeth.	Play with your hair absentmindedly.	Express apathy towards future plans.	Casually bring up your own accomplishments.	Clap your hands with joy.	Clasp your hands tightly.	Tell them that they should apologize.	Say “uhm”.	Express amazement with widened eyes.	Pat yourself on the chest.	Open up	Open your arms in a welcoming gesture.	Slow down.	Clap your hands with excitement.	Hug yourself in a comforting gesture.	Talk like you're leading the way.	
