afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong				
Je ne pense pas que je reviendrai. Je sais que tu penses qu'il est sympa, mais ça devenait vraiment gênant quand nous étions seuls. Non, ce n'était rien qu'il ait fait ou dit. Peut-être la façon dont il l'a dit ? Je ne prends aucun risque.	Une énorme quantité d'énergie circule autour de ma poitrine. Elle cherche des actions à entreprendre. L'énergie elle-même surpasse les initiatives d'action.	It is unacceptable.	J'aimerais savoir ce que je risque vraiment.	Ce seront des semaines de pipi partout avant qu'il n'apprenne où faire pipi.	Je voudrais pouvoir me réjouir pour lui, mais la vérité est que je ne peux pas.	J'oublie de faire attention pour savoir quand je suis censé rire.	J'essaie de l'aider à voir les choses d'un point de vue positif. Cela donne l'impression que je ne le prends pas au sérieux. Je le prends au sérieux. Mais je ne veux pas être entraînée vers le bas, alors j'essaie de le relever. Nous coulons lentement. Il est trop lourd. Je suis trop faible.	Qu'est-ce qui ne va pas ? Tu n'as pas dit que tu voulais partir ? Et maintenant, tu agis de manière bizarre. Je fixe le sol. Il sait exactement ce qui s'est passé. J'ai essayé d'expliquer comme d'habitude. Il l'a transformé en ma faute, comme d'habitude. Les mots sont inutiles. Faire un effort est inutile. Je fixe le sol, mais je flotte au-dessus du toit.	J'ai volé une voiture. Cela a commencé comme une blague avec mon ami, puis c'était un défi.	Pourquoi l'appelons-nous même par deux noms différents ?	Je ne ferais jamais ça. Je ne serais jamais aussi égoïste, aussi centré sur moi-même.			I should have told her exactly what I felt.	Je trouve toujours plus de ma force intérieure quand je pense à lui.	Chaque fois que j'essayais, j'entendais ma voix trembler.	La vérité réside fermement au sein de mon plexus solaire. C'est une lueur chaude jaune stable. Il émet un flux constant d'énergie. Ce qui vient de l'extérieur est réfléchi avant d'avoir une chance d'affecter ma vérité.				
Il n'y a absolument personne dans les rues sauf moi et l'homme qui marche de l'autre côté de la route. Nous marchons dans des directions opposées.	Je ne pensais pas qu'il tomberait vraiment ! J'ai mis mon pied devant lui, la prochaine chose que je savais, tout ce que je pouvais voir était la plante de ses pieds dépassant dans la pièce suivante. Une chute spectaculaire. Je riais tellement fort que j'ai fini par m'allonger par terre à côté de lui.	Bees in my head. I try to shake them off but they keep following me. The more I shake the louder they get.	Je veux dire, ça change tout.	Et parfois, ils choisissent de faire pipi dans tes chaussures juste pour t'embêter.	Je suppose que l'objectif n'est qu'une excuse pour qu'ils soient importants.	Et chacune d'entre elles apporte un message unique à la partie de moi qui se souvient encore de ce que ressent la raison.	Le ferry quitte lentement le port. Je n'ai aucune idée de où aller une fois que nous y serons. Je n'ai pas d'argent. Personne à appeler là-bas. Nulle part où rester.	Ça va ? Je lève les yeux. Je ne suis pas capable de faire le lien entre le son, qui aurait pu être une voix, et son origine. Un vieil homme barbu. Ses lèvres bougent. Cela fait bouger la longue barbe grise aussi. Je regarde par la fenêtre. Le bruit du train devient plus fort.	Il était confus et je faisais juste comme si c'était normal, et il a suivi.	Chaque matin, quand je venais vérifier ma lapine Rosa, elle était toujours avec le même faisan.	Comment peuvent-ils être si ignorants de leur propre impact sur les autres ?			It is too late now and it hurts.	Il n'y avait rien dont nous avions peur.	Je devais faire de longues pauses.	Toutes les barrières qui protégeaient la vérité ont disparu. Un espace vide entoure un morceau de lave qui sèche à l'intérieur de mon plexus solaire. En mettant la lumière dessus, la surface commence à se fissurer. À travers les fissures, je vois une lumière jaune chaude.				
Un bourdonnement constant dans ma tête jusqu'à mes épaules. Un moment, je peux voir tous les détails de l'origine du bourdonnement. Le moment suivant, les contours deviennent trop flous pour distinguer aucun détail. Mes pensées sont limitées à se déplacer seulement dans certaines voies. Parfois, je vois d'autres voies plus lisses, mais dès que j'essaie de déplacer mes pensées vers elles, elles semblent obstruées ou se dissolvent. Il doit y avoir un moyen de sortir, mais toutes les voies mènent au bourdonnement.	Que veux-tu dire, je l'ai ? Mes mains sont vides ! Tu l'as probablement pris ! Ou il a disparu. Je ne le vois pas. Attends une seconde… qu'est-ce que c'est derrière ton oreille ? Oh mon dieu, c'est le troll ! Lol ! Comment as-tu fait ça ?	Je ne suis pas vraiment pressé, mais sans eux, je pourrais arriver plus rapidement. Tous les deux occupent tout le trottoir et marchent plus lentement que ma grand-mère. Peut-être que s'ils me remarquent, ils marcheront plus vite. Je tousse bruyamment. Rien. Pour qui se prennent-ils?	Je pense.	Crois-moi, ce sera plus de travail que de câlins.	Je pensais honnêtement que l'objectif lui-même était important.	Bien sûr, je ne regrette rien. Comment pourrais-je regretter quoi que ce soit compte tenu du résultat ? Je ne pense pas que quiconque devrait jamais vivre quelque chose comme ça. Il ne devrait pas être nécessaire d'arriver à ce point. Mais perdre tout cela pour se débarrasser de ces traumatismes ? C'est comme si ce genre de pensée ne fonctionnait pas une fois que l'on est de l'autre côté.	Il fait sombre. Je ne peux rien voir ni ressentir. C'est complètement vide. Je cherche mon cœur, mes poumons, n'importe quoi. Il n'y a rien. Je ne veux rien dire. J'ai peur que le vide vole ma voix.	La facilité d'être ensemble a disparu, chacun de nous perdu dans notre confusion individuelle.	Peux-tu mettre de la musique ? J'ai demandé pour le distraire.	Je les imaginais échanger des expériences de vie.	Comment peuvent-ils se soucier si peu des autres ?			I lost an opportunity to get closure.	C'était un concours constant pour prouver que chacun de nous avait plus en lui que l'autre.	Cela n'aidait que pour l'instant.	La seule chose qui reste lorsque j'arrête d'analyser, c'est : j'adore t'avoir près de moi. Que dire d'autre ?				
Supposition.	Faisons ça. Alors le plan est : courir jusqu'à ce que nous mourions. C'est ça ? Lol, je suppose que c'est tout ce dont nous avons besoin !	Arrête de mâcher si fort. Arrête de mâcher. Arrête de mâcher. Arrête. De. Mâcher.	As-tu dit à ta mère?	À quoi ça sert ?	Je ne peux pas vraiment mettre le doigt dessus.	Bien sûr, je ne regrette rien.	Je dois faire mieux la prochaine fois.	Mon assistant peut planifier un moment pour que nous puissions parler, a-t-il écrit. Je suis furieux. Offensé. Blessé. Puis juste triste. Il était le témoin principal à mon mariage. Comment peut-il agir comme si j'étais un projet à gérer ? Ça me pique, j'ai envie de lui rendre la pareille. Le faire se sentir aussi mal que moi. Mais on ne peut pas forcer quelqu'un à vouloir être votre ami. On ne peut pas les culpabiliser. Rien à faire, juste oublier.	Je ferai tout ce que vous voulez.	Partager une connexion profonde.	J'essaie de pratiquer la patience. Cela ne vient pas facilement pour moi.			Nothing is lost.	Le monde est à nous. Nous ne pouvons pas mourir. Que pourrait-il arriver ?	J'ai essayé de faire semblant que tout allait bien, mais je pense qu'ils ont tous remarqué.	En fin de compte, tu dois prendre la responsabilité de ton propre apprentissage.				
Supposer des conséquences néfastes.	Tout le mouvement dans ma tête s'est lentement déplacé vers mon estomac. Cela crée des étincelles. Se propageant à tous mes membres. Les faisant bouger avec un but.	Je savais qu'il allait pleuvoir. Pourquoi n'ai-je pas pris mon parapluie? Mes cheveux vont mouiller mon bureau.	Es-tu vraiment sûr(e) d'y aller?	Ça va être bruyant.	Chaque fois que quelqu'un mentionne son nom, je me sens malade et en colère.	Comment pourrais-je regretter quoi que ce soit compte tenu du résultat ?	Ils pensent tous que je suis paresseuse, mais je ne le remarque tout simplement pas.	Il a dit qu'il ne croyait plus aux relations monogames. Je savais qu'il avait rencontré quelqu'un d'autre. La douleur de le voir avec une autre personne ne se comparait pas à la douleur de l'entendre continuer à me dire qu'il m'aimait. Tant qu'il continuait à dire ça, je ne pouvais pas partir. Mais il était parti depuis longtemps.		Alors je causais à contrecœur la fuite du faisan de leur cérémonie.	Je me rappelle constamment que les gens font des erreurs parfois.			All can be gained.	J'ouvre simplement la bouche et laisse les mots sortir. J'assiste avec tout le monde.	Nous sommes de nouveau en train de faire une longue promenade. Mais ce n'est pas la même chose.	Là où mes compétences se terminent, tes responsabilités commencent.				
Supposer que les autres ont une connaissance inconfortable de vous.	Je ne pensais pas qu'il tomberait vraiment !	Commande ton latte déjà ! Tu n'es pas conscient de la file derrière toi ?	Je ne viens pas avec toi.	La nourriture n'est généralement même pas si bonne.	Ce n'est pas de l'intimidation.	Mais perdre tout cela pour se débarrasser de ces traumatismes ?	Je ne sais pas comment être comme eux.	Mon assistant peut planifier un moment pour que nous puissions parler, a-t-il écrit. Je suis furieux. Offensé. Blessé. Puis juste triste.		Mais il était toujours de retour le lendemain matin.	Ils n'utilisent pas leur propre tête. Je ne sais pas si c'est parce qu'ils ne savent pas comment le faire ou parce qu'ils sont paresseux. Ou peut-être ont-ils peur. Ils comptent sur les autres pour prendre des décisions tout en se moquant de la précision. Renseignez-vous sur quelque chose par vous-même ! N'importe quoi ! Quel gaspillage de cerveaux.			Je veux dire... la pire chose qui puisse arriver, c'est que je perde mon emploi. J'en trouverai un autre. Des gens ont fait des choses similaires avant.	Ils perdent le contrôle de leur visage en regardant, stupéfaits.	Ce sentiment de possibilité à chaque tournant a disparu.	Ce n'est pas ainsi que fonctionne la vie.				
Supposer que les autres ont de mauvaises intentions.	J'ai mis mon pied devant lui, la prochaine chose que je savais, tout ce que je pouvais voir était la plante de ses pieds dépassant dans la pièce suivante.	Une sensation vibrante dans mon plexus solaire. Elle essaie de remonter vers ma poitrine et de sortir par ma gorge.	Trop de drame.	Si je reste à la maison, je peux au moins manger ma nourriture ennuyeuse en silence.	C'est plutôt un sentiment de... ne pas être reconnu.	Je suis rempli d'une lumière blanche forte mais agréable. Elle éteint tous mes sens externes tandis que mes sens internes connaissent l'extase.	Je ne sais pas comment me soucier des bonnes choses.	Comment peut-il agir comme si j'étais un projet à gérer ?			Certains passent par un long processus d'approbation pour adopter. Mais n'importe quel idiot peut devenir parent accidentellement sans rien savoir de l'amour. Personne ne sait comment être parent avant d'avoir un enfant. La plupart peuvent apprendre, mais d'autres ne sont tout simplement pas dignes. Certains ne devraient pas être autorisés à avoir des enfants.			Mais que vas-tu faire s'ils te surprennent ? Hmm... je n'y avais pas pensé. On dirait juste qu'ils ne le feront pas. Si c'est le cas, je m'en occuperai quand ça arrivera.	Je ressens un éclair de pouvoir. Je le refais. Que vont-ils faire ?	Je pense au moment où je l'ai rompu, son visage tombant alors que la scène de film que nous habitions rêveusement s'estompa dans la réalité.	La vérité, c'est que j'ai peur.				
Être incertain de vous-même.	Je riais tellement fort que j'ai fini par m'allonger par terre à côté de lui.	Puis George Floyd a été assassiné. L'énergie était si intense, elle ondulait et rayonnait en vagues de colère et de chagrin. Et soudain, alors que je m'asseyais avec tout cela et que je me tenais devant ces voitures en feu, tout en moi s'est déchiré et j'ai rappelé que nous sommes vivants. Je n'ai pas pu m'arrêter de trembler depuis. Pendant une minute, j'ai eu l'impression que tout était sur la table. Je ne lâche pas ça, bordel.	Est-ce qu'on amène des rendez-vous?	Je vais me coucher en pensant peut-être que demain sera meilleur.	Bien sûr, elle est douée pour ce qu'elle fait, mais juste parce qu'elle était à la télé ne signifie pas qu'elle est la meilleure.		Je dois faire mieux.	Ça me pique, j'ai envie de lui rendre la pareille.			Elle est fausse. Ils pensent qu'elle veut aider, mais je vois clair à travers elle. As-tu vu comment elle est allée chercher les échantillons juste quand le directeur créatif est entré ? Et elle a tout le crédit pour ça. Elle ne se soucie pas foutrement des échantillons ! Je te dis, elle ne le fait pas. C'est moi qui les ai choisis. Peu importe à quel point elle semble gentille.	 	 	Non, non, non, ne l'appelle pas. Le bébé va bien, crois-moi. Elle dort. La baby-sitter regarde la télé. J'en suis sûr. Tout mon corps sait que tout va bien.	Personne ne semble pouvoir m'arrêter. Moi le moins.	Nous sommes toujours là, peut-être même plus ancrés dans un amour l'un pour l'autre. Mais l'amour ne pourra jamais plus être du genre enivrant, électrique, surprenant.	Je lui ai dit exactement ce qui s'était passé. Je suis allé à Disneyland.				
Je sais que tu penses qu'il est sympa, mais ça devenait vraiment gênant quand nous étions seuls.	Mes mains sont vides !	Oh mon dieu ! Elle ne regarde même pas dans notre direction. Bonjour ! Tu dois déplacer ta voiture. Ta voiture ! Tu dois la bouger ! Quoi... Où va-t-elle ? Tu te moques de moi ?!! Hé !! HÉ !!! Oh non, elle ne va pas s'en sortir. Je claque la porte de la voiture derrière moi en courant presque vers elle avec des pas déterminés et lourds.	Gaahh, pourquoi tu me fais ça?	Je me réveille en comptant les heures jusqu'à ce que je puisse retourner dormir.	Ils ne peuvent pas distinguer un bon combattant d'un mauvais.		C'est comme si maman avait cessé d'exister par une sorte de magie maléfique.	Je veux le faire se sentir aussi mal que moi.			Je connais ce genre de personne. Il pense que son titre signifie qu'il sait ce qu'il fait. N'importe qui pourrait faire son travail.			Et si ceci et et si cela. Et si rien de tout ça ? Et si l'apocalypse arrive avant la fin de la journée ?		Cette odeur de feuilles froides me ramène toujours à Boston. Je sens le vent remonter le long de ma jupe.	Je passe plus de temps à l'école que nécessaire parce que je ne veux plus rentrer à la maison dans ces conditions.				
Je cherche toutes les pensées contenant des indices. J'essaie de tout mettre en ordre.	Attends une seconde… qu'est-ce que c'est derrière ton oreille ?	Il était assis assez près pour que je puisse mettre mon visage juste devant le sien. J'ai sifflé : « Si c'est le cas, ce n'est pas ton problème, n'est-ce pas ? » Je me suis rassis et je lui ai tourné le dos. Avec les dents serrées, j'ai essayé de faire comme s'il n'était pas là. Finalement, il a abandonné et est parti, mais ma mâchoire ne s'est détendue que bien plus tard.	Je pensais vraiment que la brise fraîche de l'océan m'aiderait à éclaircir mon esprit.	Je fixe mon téléphone jusqu'à ce que je ne puisse plus.	C'est tout à propos de qui attire le plus l'attention.		La porte était la dernière chose à avoir expérimenté sa présence.	Mais on ne peut pas forcer quelqu'un à vouloir être votre ami.			J'ai fait beaucoup mieux que n'importe qui de ma classe. Je ne sais pas pourquoi ils avaient des difficultés. J'ai terminé tous les devoirs en un jour. Peut-être auraient-ils dû choisir quelque chose qui leur convient mieux. Quelque chose de plus facile.			Vous, les arbres, n'avez jamais entendu parler du chef de projet, n'est-ce pas ? C'est juste quelque chose que les humains ont inventé pour avoir l'illusion que leurs projets sont gérés. Les projets sont aussi pratiquement des illusions. De toute façon, ils sont inutiles ici. C'est juste toi et moi. Et le vent.		Je me sens si ancrée, si sûre de moi ici. Et l'envie de jeter ce sentiment.	Nous avons besoin d'un changement.				
Mon instinct me dit "il n'est pas digne de confiance" alors que mon cerveau dit "tu dois être plus compréhensif".	Oh mon dieu, c'est le troll !	Regarde, tout ce dont j'ai besoin, c'est qu'on me fournisse les formulaires avant le début du service. Je n'aime pas ça. Ils n'aiment certainement pas ça non plus. Il y a une solution très simple à tout cela. Mais c'est hors de ma portée. En ce moment, il y a du chaos dont je ne suis pas responsable mais pour lequel je dois répondre. Ça ne devrait pas être comme ça.	Laisse seulement les parties importantes.	Une course qui se transforme en promenade.	Ils n'ont aucune idée de ce que j'ai accompli.		Ça va aller, je promets. Maman te manque aussi et elle revient bientôt.	Rien à faire, juste oublier.			Ils n'utilisent pas leur propre tête.			Oups ! Je suppose que la toilette est cassée. Lol ! Ce week-end va se dérouler un peu différemment de ce que nous avions imaginé. Certainement plus odorant !		On peut être si proche de quelqu'un un jour et disparaître le lendemain.	Nous avons besoin d'un changement sérieux.				
Si son comportement est aussi irrationnel, je ne peux évidemment pas lui faire confiance.	Lol !	Oh mon dieu !	Ça n'a pas marché.	Je prends une douche qui se transforme en restant allongé dans ma serviette sur mon lit pendant deux heures.	Comment pourraient-ils ?		C'est le genre de pleurs qui vient d'un lieu de perte profonde et inconsolable.	Il a dit qu'il ne croyait plus aux relations monogames. Je savais qu'il avait rencontré quelqu'un d'autre.			Je ne sais pas si c'est parce qu'ils ne savent pas comment le faire ou parce qu'ils sont paresseux.			La meilleure chose à propos de ce centre commercial, c'est le bar à cocktails. Et la seule façon correcte de faire les courses de Noël, c'est en plein jour, un peu pompette. C'est pourquoi j'en suis à ma troisième pause bar. Quand le barman m'a remis ce cocktail, il m'a regardé curieusement et a dit : "Tu joues à un jeu dangereux." C'est vraiment le cas. Un jeu charmant et dangereux. Beaucoup de cadeaux de Noël pour tout le monde cette année.		Pourrais-je rester en place si j'étais moins imprudente, plus satisfaite ? Ou est-ce que tout s'échappe toujours ?	Je suis également affecté par cela, et cela me fait encore plus mal quand tu me parles comme ça.				
Qu'est-ce qu'il a d'autre volé ?	Comment as-tu fait ça ?	Elle ne regarde même pas dans notre direction.	Soupir.	Je me connecte, j'apparais, je disparais. Rien n'a d'importance. Personne n'existe.	J'aimerais avoir le temps et l'argent.		Peu importe ce que je fais.	La douleur de le voir avec une autre personne ne se comparait pas à la douleur de l'entendre continuer à me dire qu'il m'aimait.			Ils comptent sur les autres pour prendre des décisions tout en se moquant de la précision.			Tu sais quoi ? Vas-y ! Tes menaces ont perdu de leur poids dès que j'ai acquis un peu d'estime de soi. Tu sais ce qui ne fonctionne plus avec tes menaces ? Elles ne font pas peur. Les conséquences ne me font pas peur. Tu ne me fais pas peur. Juste sors.		Nous sommes sept, en train de faire un spectacle de marionnettes, quand soudain je remarque que notre jeu n'a plus de sens.	Tu es vraiment rêveur. Il a ri. Je savais que c'était le moment où tout était fini.				
Je réévalue toute notre relation. Chaque action que je voyais auparavant à la frontière entre la méfiance et la compréhension est maintenant clairement du côté de la méfiance.	Faisons ça.	Bonjour !	Que dois-je faire?	Je ne savais pas que la lumière du jour pouvait être aussi sombre. Sombre est un mot trop passionné. C'est juste gris dans toutes les directions.	J'aimerais être l'un d'entre eux.		Je ne suis pas la bonne personne.	Tant qu'il continuait à dire ça, je ne pouvais pas partir. Mais il était parti depuis longtemps.			Renseignez-vous sur quelque chose par vous-même !			Des hologrammes d'anciennes contraintes parcourent mon corps comme des fils. De ma tête à mes entrailles. Je les traverse librement. Ce sont des vestiges d'une perspective différente. Une perspective qui me retenait prisonnier. Plus je bouge, plus ils deviennent fragiles. C'est un acte libérateur.		Qu'est-il arrivé aux histoires que nous avions l'habitude de faire semblant ?	Tout ce que j'ai toujours voulu, c'est plus.				
Il a menti sur tout tout ce temps.	Alors le plan est : courir jusqu'à ce que nous mourions.	Ta voiture ! Tu dois la bouger !	Peut-être que je vais les rejoindre un peu.	Je continue à vivre parce que je ne veux pas faire de mal aux gens autour de moi. Je ne contribue déjà à rien, pas la peine d'aggraver les choses.	J'aimerais avoir des délais à me plaindre.		Finalement, je commence à pleurer aussi.				N'importe quoi !			La pire chose qui puisse arriver, c'est que je perde mon emploi.		Quand cela est-il devenu si difficile ? Cela coulait simplement autrefois.	Dans toutes les directions, autant que possible, à tout moment, dans la mesure du possible. Je veux ce qui est difficile.				
Pourquoi diable mon esprit inventerait-il quelque chose comme ça ?	Lol, je suppose que c'est tout ce dont nous avons besoin !	Quoi... Où va-t-elle ?	Ou je pourrais leur dire que je ne me sens pas bien.	Je ne vais pas le faire. Ça fait juste du bien de googler. Au moins, ça ressemble à quelque chose.	Mais certaines personnes vivent dans d'immenses maisons avec des familles aimantes.		Ce n'est pas ainsi que cela devrait être géré, mais je ne suis pas capable.				Quel gaspillage de cerveaux.			J'en trouverai un autre.		Je regarde autour de moi mais maintenant tout regarde en arrière.	Ce sentiment de persévérer sans savoir si c'est atteignable. Sachant seulement que je dois continuer à essayer.				
Suis-je celui qui a besoin d'être réévalué ?	Je suis obsédé par tout.	Tu te moques de moi ?!!	Je suis debout à l'intersection de deux réalités différentes.	J'essaie de me rappeler à quoi ressentir du plaisir ressemblait, mais c'est juste un blanc désolé.	Certaines d'entre nous sont coincées dans de petits appartements.		Alors que je n'ai pas le choix que d'attendre, mes camarades de classe terminent leur repas et partent pour le bus.				Mais n'importe quel idiot peut devenir parent accidentellement sans rien savoir de l'amour.			Le bébé va bien, crois-moi.		La facilité d'être ensemble a disparu, chacun de nous perdu dans sa confusion individuelle.	Je suis sur le dernier 1600 et je sens mon cerveau commencer à résister. Le doute m'envahit. À quoi bon ? Mais je me suis entraîné pour cette confrontation exacte. Je suis prêt pour ça. C'est le moment de surmonter la voix. Je peux continuer. Il n'y a pas d'arrêt. Je veux ça. Je démarre un sprint de 200 mètres. Je sens mes pensées se retirer, ainsi que mes adversaires. Je les ai battus. Martelant dans un état de douleur et d'extase jusqu'à la fin.				
Si quelqu'un me demande ce que j'en pense, il se rendra immédiatement compte que je n'ai aucune idée de ce dont je parle.	Je suis presque maniaque.	Hé !! HÉ !!!	Serait-ce irrespectueux envers l'univers si je lançais une pièce de monnaie?	Je ferai ce que tu me dis de faire. Si je trouve l'énergie.	Avec des colocataires passifs-agressifs et leurs partenaires qui se greffent.		Je ne vaux pas la pe				La plupart peuvent apprendre, mais d'autres ne sont tout simplement pas dignes.			Tout mon corps sait que tout va bien.			Je sais que certaines personnes ont besoin de délais, mais pour moi, ils n'ont jamais été plus qu'un détail administratif.				
Il commencera à se demander pourquoi on m'a même permis d'être ici en premier lieu.		Oh non, elle ne va pas s'en sortir.			Bon sang, je pourrais tuer la prochaine personne postant une photo de leur magnifique jardin.						Certains ne devraient pas être autorisés à avoir des enfants.			C'est juste quelque chose que les humains ont inventé pour avoir l'illusion que leurs projets sont gérés.			Mes attentes envers moi-même dépassent largement toutes les exigences que d'autres peuvent fixer.				
Lors des présentations, elle m'a regardé d'un air qui disait "Trop prévisible. Incapable de former des pensées avec le moindre fondement."		Je claque la porte de la voiture derrière moi en courant presque vers elle avec des pas déterminés et lourds.			Tout ce que j'ai jamais voulu, c'était un poney à moi.						Elle est fausse.			Les projets sont aussi pratiquement des illusions.			Il n'y a rien de mieux que le sentiment de faire une liste de choses à faire.				
Pourquoi m'ont-ils accepté si je n'appartiens pas ici ?		Il était assis assez près pour que je puisse mettre mon visage juste devant le sien.			À ce moment-là, je ne savais pas qu'il était possible de ne pas aimer quelqu'un juste parce qu'il avait quelque chose que je n'avais pas.						Ils pensent qu'elle veut aider, mais je vois clair à travers elle.			De toute façon, ils sont inutiles ici.			Mon esprit est concentré. Chaque tâche est devant moi.				
Peut-être le font-ils toujours à une personne. Comme un jeu.		J'ai sifflé : « Si c'est le cas, ce n'est pas ton problème, n'est-ce pas ? »			Je ne me sentais pas non plus heureux pour elle.						Je te dis, elle ne le fait pas.			La meilleure chose à propos de ce centre commercial, c'est le bar à cocktails.			Quelqu'un m'a dit un jour que la procrastination était vraiment un problème de gestion émotionnelle. Alors j'ai développé des astuces pour changer mes émotions quand je me surprends à repousser un élément de ma liste.				
Tout à coup, il commence à traverser la rue. Il vise vers moi.		Je me suis rassis et je lui ai tourné le dos.			Je ressentais simplement un manque.						Peu importe à quel point elle semble gentille.			La seule façon correcte de faire les courses de Noël, c'est en plein jour, un peu pompette.							
Il va me pousser en bas de la pente.		Avec les dents serrées, j'ai essayé de faire comme s'il n'était pas là.			Une preuve que je pourrais être plus heureux si les choses étaient différentes.						Je connais ce genre de personne.			C'est pourquoi j'en suis à ma troisième pause bar.							
À l'abri des buissons, il va m'agresser.		Finalement, il a abandonné et est parti, mais ma mâchoire ne s'est détendue que bien plus tard.									Il pense que son titre signifie qu'il sait ce qu'il fait.			Un jeu charmant et dangereux.							
Je sais exactement ce qui va m'arriver.		Je n'aime pas ça. Ils n'aiment certainement pas ça.									N'importe qui pourrait faire son travail.			Beaucoup de cadeaux de Noël pour tout le monde cette année.							
Mes jambes sont les seules choses non paralysées.		Il y a une solution très simple à tout cela. Mais c'est hors de ma portée.									J'ai fait beaucoup mieux que n'importe qui de ma classe.			Tu sais quoi ? Vas-y !							
J'essaie de tout mettre en ordre. Peut-être le font-ils toujours à une personne. Comme un jeu.		En ce moment, il y a du chaos dont je ne suis pas responsable mais pour lequel je dois répondre.									Je ne sais pas pourquoi ils avaient des difficultés.			Les conséquences ne me font pas peur.							
Je réévalue toute notre relation. Je cherche toutes les pensées contenant des indices. À l'abri des buissons, il va m'agresser.		Ça ne devrait pas être comme ça!									Peut-être auraient-ils dû choisir quelque chose qui leur convient mieux. Quelque chose de plus facile.			Tu ne me fais pas peur.							
Pourquoi m'ont-ils accepté si je n'appartiens pas ici ? Si son comportement est aussi irrationnel, je ne peux évidemment pas lui faire confiance. Pourquoi diable mon esprit inventerait-il quelque chose comme ça ? Il a menti sur tout tout ce temps.		J'ai sifflé : « Si c'est le cas, ce n'est pas ton problème, n'est-ce pas ? »									Il m'appelle dans son bureau. Je ne respecte pas à nouveau le code vestimentaire, c'est une retenue. Mais c'est le cas pour tout le monde, je conteste. Une autre retenue pour avoir répondu. Ce n'est pas juste ! Une autre, est-ce que je veux continuer ? Soudain, je suis de retour dans le coin, criant après ma mère. Elle crie en retour. Ma respiration est rapide. Je suis en colère mais concentré. Quoi crier pour la frustrer le plus. Chaque tentative s'ajoute à ma punition, il faut que ça en vaille la peine. Elle continue à monter en intensité, je l'atteins, mais si je ne m'arrête pas maintenant, je resterai ici pendant un mois.			Oups ! Eh bien... 							
Ils commenceront à se demander pourquoi on m'a même permis d'être ici en premier lieu. Mes jambes sont les seules choses non paralysées.		Je n'aime pas ça. Ils n'aiment certainement pas ça. Bonjour ! Je me suis rassis et je lui ai tourné le dos.									J'ai toujours eu un problème avec l'autorité. Je peux suivre les règles si j'en comprends le point. Mais si ce n'est pas clair ou si je sens que le système n'est pas appliqué équitablement, je perds pied.			Lol !							
Je sais exactement ce qui va m'arriver. Suis-je celui qui a besoin d'être réévalué ? Qu'est-ce qu'il a d'autre volé ?		Finalement, il a abandonné et est parti, mais ma mâchoire ne s'est détendue que bien plus tard. Ça ne devrait pas être comme ça! Arrête. Tu ne peux pas partir à chaque fois que quelque chose te rend mal à l'aise. Tu penses que tu nous protèges tous les deux, mais tu creuses de plus en plus le fossé entre nous. Plus tu fuis, plus nous nous éloignons de pouvoir arranger les choses. Tu dois t'arrêter maintenant. Sinon, je vais commencer à te détester et tout sera perdu pour toujours.									Ce n'est pas juste ! Est-ce que je veux continuer à pousser ?			Si c'est le cas, je m'en occuperai quand cela arrivera.							
Google connaissait le nom de mon bébé avant moi.		Je m'en fiche de tes opinions. On n'avance nulle part. Tu crois avoir choisi le bon camp, mais chaque camp est le mauvais camp. Il n'y a pas de gagnants. Tes actions sont déconnectées de tes véritables croyances. Je ne sais pas comment arranger quoi que ce soit ou si c'est même possible. Mais n'ose plus jamais mentionner tes opinions. Elles n'apportent rien sauf le dévoilement de ton ego.									Crier après ma mère. Elle crie en retour.			Et si ceci et et si cela.							
		Ils ont pris tout notre argent. Je pensais vraiment qu'ils aidaient. Mais ils ont pris tout notre argent. Je ne sais pas ce qui est pire, réaliser que je suis aussi naïf ou qu'il y a réellement des gens capables d'une telle tromperie. Le pire, c'est que je n'ai aucun exutoire. Ils sont partis depuis longtemps et si je me blâme, je vais aggraver les choses. J'ai un profond besoin de casser quelque chose.									Ma respiration est rapide. Je suis en colère mais concentré. Quoi crier pour la frustrer le plus ?			Et si rien de tout ça ?							
		Pourquoi est-ce que je continue à me faire ça ? Le même schéma. Encore et encore. D'où vient mon manque de respect de moi-même ? Si je pouvais en trouver la source, je la saisirais à la gorge et lui dirais de ne jamais revenir.									Chaque tentative s'ajoute à ma punition, il faut que ça en vaille la peine.			Et si l'apocalypse arrive avant la fin de la journée ?							
		Regardez-moi. Je ne veux plus jamais voir ce genre de comportement. C'est clair ? Si vous avez un problème avec quelqu'un dans ce groupe, dites-le-moi immédiatement et nous le réglerons. Lorsque vous choisissez d'agir de manière irrespectueuse, vous									Elle continue à monter en intensité, je l'atteins.			Cela a du sens quand je le vois de son point de vue.							
											J'ai toujours eu un problème avec l'autorité.			Il se protège lui-même et cela n'a rien à voir avec moi.							
											C'est l'incompétence qui me touche.			C'est rassurant de savoir que je n'aurais rien pu changer.							
														J'aurais aimé pouvoir aider, mais c'est bien que je ne puisse pas.							
